Sale_Number,Lease_Number,Bid_Amount,Company_Number,Protraction_ID,Block_Number,Acreage,Source_Sale
247,0036047,3038291,78,NG15-03,598,5760.0,Unknown
247,0036048,625260,2219,NG15-03,605,5760.0,Unknown
247,0036049,940823,59,NG15-03,618,5760.0,Unknown
247,0036050,650719,689,NG15-03,636,5760.0,Unknown
247,0036051,11307829,78,NG15-03,642,5760.0,Unknown
247,0036052,763367,78,NG15-03,713,5760.0,Unknown
247,0036053,2555555,1308,NG15-03,722,5760.0,Unknown
247,0036053,2555555,1999,NG15-03,722,5760.0,Unknown
247,0036053,2555555,2668,NG15-03,722,5760.0,Unknown
247,0036053,1372908,78,NG15-03,722,5760.0,Unknown
247,0036054,621915,2277,NG15-03,738,5760.0,Unknown
247,0036054,621915,2481,NG15-03,738,5760.0,Unknown
247,0036055,763367,78,NG15-03,755,5760.0,Unknown
247,0036056,599915,2277,NG15-03,870,5760.0,Unknown
247,0036056,599915,2481,NG15-03,870,5760.0,Unknown
247,0036057,663552,2219,NG15-03,926,5760.0,Unknown
247,0036057,663552,3228,NG15-03,926,5760.0,Unknown
247,0036058,790272,2219,NG15-03,929,5760.0,Unknown
247,0036058,790272,3228,NG15-03,929,5760.0,Unknown
247,0036059,757757,1999,NG15-03,935,5760.0,Unknown
247,0036060,755557,2668,NG15-03,943,5760.0,Unknown
247,0036060,755557,1308,NG15-03,943,5760.0,Unknown
247,0036060,755557,3394,NG15-03,943,5760.0,Unknown
247,0036060,755557,3238,NG15-03,943,5760.0,Unknown
247,0036060,755557,1999,NG15-03,943,5760.0,Unknown
247,0036061,1655555,3394,NG15-03,944,5760.0,Unknown
247,0036061,1655555,2668,NG15-03,944,5760.0,Unknown
247,0036061,1655555,1308,NG15-03,944,5760.0,Unknown
247,0036061,1655555,3238,NG15-03,944,5760.0,Unknown
247,0036061,1655555,1999,NG15-03,944,5760.0,Unknown
247,0036062,1622888,3238,NG15-03,953,5760.0,Unknown
247,0036062,1622888,1308,NG15-03,953,5760.0,Unknown
247,0036062,1622888,2668,NG15-03,953,5760.0,Unknown
247,0036062,1622888,1999,NG15-03,953,5760.0,Unknown
247,0036063,752525,2058,NG16-01,20,5760.0,Unknown
247,0036063,752525,1308,NG16-01,20,5760.0,Unknown
247,0036063,752525,2668,NG16-01,20,5760.0,Unknown
